2023-06-02 15:11:43,837 INFO    StreamThr :14923 [internal.py:wandb_internal():86] W&B internal server running at pid: 14923, started at: 2023-06-02 15:11:43.836530
2023-06-02 15:11:43,838 DEBUG   HandlerThread:14923 [handler.py:handle_request():144] handle_request: status
2023-06-02 15:11:43,851 INFO    WriterThread:14923 [datastore.py:open_for_write():85] open: /Users/atawua/Desktop/Data Science/GitHub/mlops-zoomcamp/cohorts/2023/02-experiment-tracking/homework-wandb/wandb/run-20230602_151143-lpty62ok/run-lpty62ok.wandb
2023-06-02 15:11:43,852 DEBUG   SenderThread:14923 [sender.py:send():375] send: header
2023-06-02 15:11:43,883 DEBUG   SenderThread:14923 [sender.py:send():375] send: run
2023-06-02 15:11:44,411 DEBUG   HandlerThread:14923 [handler.py:handle_request():144] handle_request: check_version
2023-06-02 15:11:44,412 INFO    SenderThread:14923 [dir_watcher.py:__init__():219] watching files in: /Users/atawua/Desktop/Data Science/GitHub/mlops-zoomcamp/cohorts/2023/02-experiment-tracking/homework-wandb/wandb/run-20230602_151143-lpty62ok/files
2023-06-02 15:11:44,412 INFO    SenderThread:14923 [sender.py:_start_run_threads():1124] run started: lpty62ok with start time 1685715103.840108
2023-06-02 15:11:44,412 DEBUG   SenderThread:14923 [sender.py:send_request():402] send_request: summary_record
2023-06-02 15:11:44,412 INFO    SenderThread:14923 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-06-02 15:11:44,412 DEBUG   SenderThread:14923 [sender.py:send_request():402] send_request: check_version
2023-06-02 15:11:44,618 DEBUG   HandlerThread:14923 [handler.py:handle_request():144] handle_request: run_start
2023-06-02 15:11:44,630 DEBUG   HandlerThread:14923 [system_info.py:__init__():31] System info init
2023-06-02 15:11:44,631 DEBUG   HandlerThread:14923 [system_info.py:__init__():46] System info init done
2023-06-02 15:11:44,631 INFO    HandlerThread:14923 [system_monitor.py:start():181] Starting system monitor
2023-06-02 15:11:44,631 INFO    SystemMonitor:14923 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-06-02 15:11:44,631 INFO    HandlerThread:14923 [system_monitor.py:probe():201] Collecting system info
2023-06-02 15:11:44,632 INFO    SystemMonitor:14923 [interfaces.py:start():190] Started cpu monitoring
2023-06-02 15:11:44,632 DEBUG   HandlerThread:14923 [system_info.py:probe():195] Probing system
2023-06-02 15:11:44,632 INFO    SystemMonitor:14923 [interfaces.py:start():190] Started disk monitoring
2023-06-02 15:11:44,632 INFO    SystemMonitor:14923 [interfaces.py:start():190] Started gpuapple monitoring
2023-06-02 15:11:44,635 INFO    SystemMonitor:14923 [interfaces.py:start():190] Started memory monitoring
2023-06-02 15:11:44,636 INFO    SystemMonitor:14923 [interfaces.py:start():190] Started network monitoring
